Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,2015,2016,2017,2018,2019,2020,2021,2022
Kuwait,KW,KWT,IMF-Adapted ND-GAIN Index,,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.540217898,0.540005965,0.539843462,0.542842861,0.547258161,0.546909289,0.551936954,0.55841103
Kuwait,KW,KWT,IMF-Adapted Readiness score,,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.444407025,0.443665532,0.443311073,0.449785349,0.457140566,0.460718281,0.469198371,0.480874768
Kuwait,KW,KWT,"Readiness score, Governance",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.467414,0.478626834,0.479256132,0.497549306,0.512462475,0.535311953,0.530010518,0.545727511
Kuwait,KW,KWT,"Readiness score, IMF-Adapted Economic",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.57007552,0.553800461,0.549558679,0.559562066,0.5705692,0.551750008,0.564644328,0.584211381
Kuwait,KW,KWT,"Readiness score, Social",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.295731555,0.298569301,0.301118406,0.292244675,0.288390024,0.295092882,0.312940269,0.312685411
Kuwait,KW,KWT,Vulnerability score,,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.363971228,0.363653603,0.363624148,0.364099628,0.362624245,0.366899703,0.365324464,0.364052707
Kuwait,KW,KWT,"Vulnerability score, Capacity",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.37606568,0.374704889,0.373002917,0.373372496,0.367384495,0.374123271,0.373351366,0.369971412
Kuwait,KW,KWT,"Vulnerability score, Ecosystems",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.441666767,0.440740055,0.443086151,0.445432247,0.44332243,0.441212613,0.439786381,0.435197669
Kuwait,KW,KWT,"Vulnerability score, Exposure",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.397463158,0.397463158,0.397463158,0.397463158,0.397463158,0.397463158,0.397463158,0.397463158
Kuwait,KW,KWT,"Vulnerability score, Food",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.385741762,0.378698032,0.379516799,0.381493432,0.380637355,0.392287675,0.387857367,0.390725636
