Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,GCAM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.35268,27.57798,27.74458,27.92583,28.04229,28.10755,28.15806
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.31116,27.53215,27.67401,27.84114,27.99848,28.15902,28.33456
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.35175,27.56159,27.71981,27.94513,28.10072,28.19082,28.23808
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,GCAM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.29122,27.48869,27.62451,27.79182,27.94058,28.07671,28.20767
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,GCAM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.35152,27.55548,27.71662,27.88704,27.98543,28.02693,27.99847
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.29157,27.4929,27.63007,27.79564,27.94958,28.08966,28.24317
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.35296,27.5838,27.75208,27.91727,27.99568,28.01614,27.97596
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.33362,27.5651,27.75618,27.93116,28.03398,28.09626,28.13918
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.2748,27.48795,27.62125,27.78698,27.94499,28.08171,28.22745
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.33343,27.56082,27.71592,27.95102,28.09306,28.16676,28.22088
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.27494,27.48724,27.62172,27.81261,27.96772,28.06562,28.16886
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.33363,27.56664,27.79176,27.93232,27.9698,27.96712,27.9544
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.27512,27.48948,27.62252,27.78714,27.928,28.03763,28.1504
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.33363,27.56601,27.77061,27.89989,27.93916,27.93613,27.91833
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.27378004,27.56030834,27.71214065,27.89038372,27.97926515,28.02407317,28.04361681
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.27378004,27.48326036,27.6084298,27.7756415,27.92875454,28.07241444,28.23365294
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.27378004,27.48326036,27.6084298,27.90106575,28.04120367,28.09924554,28.09809336
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.27378004,27.48326036,27.6084298,27.77263321,27.92133227,28.0365776,28.14225209
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.27378004,27.56934607,27.7175493,27.82566857,27.81614204,27.75798649,27.69312331
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.27378004,27.48281352,27.60858235,27.77025438,27.88716649,27.97726344,28.066008
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.27378004,27.56384376,27.71234073,27.84320943,27.85875113,27.83796225,27.82122207
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21598,27.36154,27.48356,27.59949,27.66238,27.70124,27.73067
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21556,27.35752,27.46972,27.61377,27.74154,27.85474,27.98559
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21561,27.35466,27.47263,27.62872,27.7183,27.77041,27.79786
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21569,27.35685,27.47028,27.6147,27.72014,27.81275,27.90028
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21539,27.35398,27.46463,27.57842,27.62134,27.63024,27.60329
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21592,27.35992,27.47626,27.61438,27.72354,27.8269,27.93354
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21607,27.36634,27.48417,27.57992,27.60801,27.61576,27.57554
