year,brent_usd_barrel,source,notes
2015,52.37,EIA Annual Average,Oil price crash
2016,43.73,EIA Annual Average,Oil price trough
2017,54.19,EIA Annual Average,Recovery begins
2018,71.31,EIA Annual Average,Pre-sanctions peak
2019,64.37,EIA Annual Average,Pre-COVID
2020,41.96,EIA Annual Average,COVID demand collapse
2021,70.95,EIA Annual Average,Post-COVID recovery
2022,99.05,EIA Annual Average,Ukraine war spike
2023,82.49,EIA Annual Average,OPEC+ production cuts
2024,79.89,EIA Annual Average,Sustained OPEC+ cuts
